,img,stddev,low_freq_prop,lap_var,exception,suspect
0,M182251141RE_pyr_0.jpg,2.1222838949002147,0.99609375,15.196281429147348,Image exhibiting stddev < 10.,True
1,M182251141RE_pyr_1.jpg,2.14268815006723,0.99609375,15.420993532985449,Image exhibiting stddev < 10.,True
2,M182251141RE_pyr_2.jpg,2.142052732465302,0.99609375,15.290660247206688,Image exhibiting stddev < 10.,True
3,M182251141RE_pyr_3.jpg,2.1223883653823354,0.99609375,15.1387388498988,Image exhibiting stddev < 10.,True
4,M182251141RE_pyr_4.jpg,35.81647314320846,0.7925567626953125,1897.778036352247,Image exhibiting stddev < 10.,True
5,M182251141RE_pyr_5.jpg,58.635667353090604,0.231231689453125,6630.604529095581,Image exhibiting stddev < 10.,True
6,M182251141RE_pyr_6.jpg,42.83623432558032,0.068511962890625,6178.138978055678,Image exhibiting stddev < 10.,True
0,/Users/kaipak/datasets/lroc_sm/edr/lrolrc_0010/extras/browse/2012026/M182251128CE_pyr.jpeg,,,,Image is corrupt or otherwise unusable: unsupported operand type(s) for /: 'NoneType' and 'int',True
0,M183039589LE_pyr_0.jpg,32.060465717064076,0.0119171142578125,1316.1131633883342,,False
1,M183039589LE_pyr_1.jpg,31.048943743409044,0.01190185546875,1290.1751861572266,,False
2,M183039589LE_pyr_2.jpg,26.92860274982249,0.011810302734375,1388.9947380423546,,False
3,M183039589LE_pyr_3.jpg,29.04760205135569,0.0121917724609375,1192.1134597433265,,False
4,M183039589LE_pyr_4.jpg,29.025281017346114,0.016448974609375,1187.015738334274,,False
5,M183039589LE_pyr_5.jpg,45.715941383851344,0.0420684814453125,1414.1435060144868,,False
6,M183039589LE_pyr_6.jpg,43.766090007685165,0.0169830322265625,2031.7376871695742,,False
7,M183039589LE_pyr_7.jpg,42.45388000411514,0.04473876953125,1817.0146438619122,,False
8,M183039589LE_pyr_8.jpg,41.17448845900341,0.03302001953125,1619.4293104102835,,False
9,M183039589LE_pyr_9.jpg,43.816260087495515,0.0142974853515625,1662.3214328156319,,False
